code1	code2	code3	code4	code5	class1	class2	class3	class4	class5	drug
A	A01	A01A	A01AA	A01AA01	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Sodium fluoride	sodium fluoride
A	A01	A01A	A01AA	A01AA02	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Sodium fluorophosphate	sodium fluorophosphate
A	A01	A01A	A01AA	A01AA03	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Olaflur	olaflur
A	A01	A01A	A01AA	A01AA04	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Stannous fluoride	stannous fluoride
A	A01	A01A	A01AA	A01AA51	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Caries prophylactic agents	Sodium fluoride	sodium fluoride
A	A01	A01A	A01AB	A01AB02	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Hydrogen peroxide	hydrogen peroxide
A	A01	A01A	A01AB	A01AB03	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Chlorhexidine	chlorhexidine
A	A01	A01A	A01AB	A01AB04	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Amphotericin B	amphotericin b
A	A01	A01A	A01AB	A01AB06	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Domiphen	domiphen
A	A01	A01A	A01AB	A01AB07	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Oxyquinoline	oxyquinoline
A	A01	A01A	A01AB	A01AB08	Alimentary Tract And Metabolism	Stomatological Preparations	Stomatological Preparations	Antiinfectives and antiseptics for local oral treatment	Neomycin	neomycin
