pert_id	drug_id
BRD-A08715367	L-theanine
BRD-A12237696	L-citrulline
BRD-A18795974	7-hydroxy-DPAT
BRD-A27924917	2-hydroxysaclofen
BRD-A35931254	r(-)-apomorphine
BRD-A39230911	chlorphensin
BRD-A77577770	palmitoylcarnitine
BRD-A86415025	1-(1,2-diphenylethyl)piperidine-(+/-)
BRD-K05674516	PSI-7976
BRD-K10673031	S-isopropylisothiourea
BRD-K13994703	propranolol-(S)
BRD-K17874705	2-pyridylethylamine
BRD-K19203487	SPP-301
BRD-K25075681	SR-48692
BRD-K25835157	PRT-062070
BRD-K26341917	L-ergothioneine
BRD-K27853494	phenylpropanolamine
BRD-K28308851	alpha-methylhistamine-dihydrobromide-(S)-(+)
BRD-K29133151	ICI-185,282
BRD-K29968218	KX-2391
BRD-K33422401	PMSF
BRD-K36363294	I-BET-151
BRD-K36381762	nor-binaltorphimine-dihydrochloride
BRD-K42205652	MNS-(3,4-methylenedioxy-nitrostyrene)
BRD-K45437867	5-methylfurmethiodide
BRD-K49468759	KIN001-266
BRD-K62277907	PYM-50028
BRD-K66766661	17-beta-estradiol
BRD-K68552125	phorbol-myristate-acetate
BRD-K70821460	4-methylhistamine
BRD-K71822263	D-serine
BRD-K73700643	N-acetyltryptamine
BRD-K76022557	r(-)-apomorphine
BRD-K76677554	A-J76-(+)
BRD-K81647657	3-methyladenine
BRD-K81807412	N6-methyladenosine
BRD-K82244583	MEK-162
BRD-K87737963	CYT-387
BRD-K89464729	GSK-269962
BRD-K92041145	O6-benzylguanine
BRD-K92073408	norethisterone
BRD-K92404805	L-quisqualic-acid
BRD-K93725829	ERK-inhibitor-11E
BRD-K94780074	S-nitrosoglutathione
BRD-K97019106	4-acetyl-1,1-dimethylpiperazinium
BRD-K97101532	VX-661
BRD-K38615104	A-443654
BRD-K47569187	mtep-hydrochloride
BRD-A76934284	(+)-3-(1-propyl-piperidin-3-yl)-phenol
BRD-K32795028	1-benzylimidazole
BRD-K02603382	1-methylisoquinoline
BRD-K29542628	1-naphthyl-PP1
BRD-K31491153	1-phenylbiguanide
BRD-K74430258	1,2-dichlorobenzene
BRD-A19232309	1,2-propylene-glycol
BRD-K18436203	1,2,3,4-tetrahydroisoquinoline
BRD-K06817181	1,2,3,4,5,6-hexabromocyclohexane
BRD-K41853443	1,3-dipropyl-8-phenylxanthine
BRD-K63784565	10-hydroxycamptothecin
BRD-K94919853	10H-phenothiazin-10-yl)(p-tolyl)methanone
BRD-K05396879	15-delta-prostaglandin-j2
BRD-K61033289	15-delta-prostaglandin-j2
BRD-A52934756	15-delta-prostaglandin-j2
BRD-K92301463	16,16-dimethylprostaglandin-e2
BRD-A29731977	17-hydroxyprogesterone-caproate
BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol
BRD-A71657825	2-(biphenyl-4-ylsulfonamido)pentanedioic-acid
BRD-K32681104	2-aminobenzenesulfonamide
BRD-K35128472	2-aminopurine
BRD-A04831598	2-aminotetralin
BRD-K95015809	2-cyanopyrimidine
BRD-A94451536	2-fluoropalmitic-acid
BRD-K44408410	2-methoxyestradiol
BRD-K61734568	2,3-DCPE
BRD-K21910317	2,4-dinitrophenol
BRD-A20131130	2',5'-dideoxyadenosine
BRD-A85216385	3-alpha-bis-(4-fluorophenyl)-methoxytropane
BRD-K08703257	3-amino-benzamide
BRD-K24689407	3-bromo-7-nitroindazole
BRD-K37846922	3,3'-diindolylmethane
BRD-K86305586	3,4-DCPG-(S)
BRD-K32480606	3,6-dimethoxyflavone
BRD-K14643723	4-(2-amino-ethyl)-benzenesulfonamide
BRD-K47337578	4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine
BRD-A80383043	4-carboxy-3-hydroxyphenylglycine-(RS)
BRD-A15914070	4-hydroxy-2-nonenal
BRD-K49759007	4-hydroxy-phenazone
BRD-A96799240	4-hydroxyretinoic-acid
BRD-K25690923	4-iodo-6-phenylpyrimidine
BRD-K51799616	4,4'-DDT
BRD-K97118047	4,5,6,7-tetrabromobenzotriazole
BRD-K57631554	aminolevulinic-acid
BRD-A00150179	5-hydroxytryptophan
BRD-A61866602	5-methoxy-alpha-methyltryptamine
BRD-A68318914	5-methylhydantoin
BRD-K08219523	5-nonyloxytryptamine
BRD-K60287130	5,7-dichlorokynurenic-acid
BRD-K00656370	6-aminochrysene
BRD-K62929068	6-benzylaminopurine
BRD-K34663752	6-chloromelatonin
BRD-A65327625	6-hydroxytropinone
BRD-K49236613	6-iodo-nordihydrocapsaicin
BRD-K08227907	6-nitrodopamine
BRD-A64489120	6-nitronorepinephrine
BRD-K84214706	7-chlorokynurenic-acid
BRD-A01295252	7-hydroxy-PIPAT
BRD-K04430056	7-nitroindazole
BRD-K50384076	7,4'-dihydroxyflavone
BRD-A01317026	7,8-dihydro-L-biopterin
BRD-A48015106	8-hydroxy-DPAT
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide
BRD-K78787248	a-disintegrin-and-metalloproteinase
BRD-K16133773	abiraterone-acetate
BRD-K24048528	abiraterone-acetate
BRD-A49544621	AC-7954-(+/-)
BRD-K35923252	Ac-Leu-Leu-Nle-CHO
BRD-K68633617	ACDPP
BRD-K74112339	acetohydroxamic-acid
BRD-K79437791	acetyl-farnesyl-cysteine
BRD-K75181824	acetyl-geranygeranyl-cysteine
BRD-K64729807	acetyl-geranyl-cysteine
BRD-U01690642	acetyl-geranyl-cysteine
BRD-K27406233	acetyl-l-leucine
BRD-K59058747	acetylcysteine
BRD-K67174965	acetylcysteine
BRD-K85767870	adenosine-phosphate
BRD-K04887706	AKT-inhibitor-1-2
BRD-K28296557	AKT-inhibitor-IV
BRD-K93080877	Ala-Ala-Phe-CMK
BRD-K33396764	alpha-linolenic-acid
BRD-K15318383	ammonium-glycyrrhizinate
BRD-A09062839	amyleine
BRD-A63236097	andrographolide
BRD-A95513702	androsta-1,4-dien-3,17-dione
BRD-K92490248	anethole-trithione
BRD-K20001883	RVX-208
BRD-A72322024	APEC
BRD-K74733595	APHA-compound-8
BRD-K15164005	apoptosis-activator-II
BRD-K03070961	arachidonic-acid
BRD-K07303502	arachidonyl-trifluoro-methane
BRD-K63792901	arecaidine-but-2-ynyl-ester
BRD-K23922020	arecaidine-propargyl-ester
BRD-K73395020	ARP-101
BRD-A20239487	atenolol-(+/-)
BRD-K53561341	KIN-001-220
BRD-K10466330	AVA
BRD-K61691971	avrainvillamide-analog-1
BRD-K42573370	avrainvillamide-analog-2
BRD-K39569857	avrainvillamide-analog-3
BRD-K25079130	avrainvillamide-analog-4
BRD-A70731303	avrainvillamide-analog-5
BRD-K50324045	avrainvillamide-analog-6
BRD-A84189516	baccatin-III
BRD-K62353271	baclofen-(R)
BRD-K22848513	bardoxolone-methyl
BRD-A18763547	BAX-channel-blocker
BRD-K14329163	BAY-K-8644-(S)-(-)
BRD-K09668667	benzo(a)pyrene
BRD-K09784055	benzo(e)pyrene
BRD-K55160477	benzo[d]thiazole-2(3h)-thione
BRD-K14221570	benzopurpurin-4b
BRD-K43796186	benzyl-quinazolin-4-yl-amine
BRD-K38687824	beta-amyloid-synthesis-inhibitor
BRD-K85242180	beta-CCP
BRD-K35010406	BG-1005
BRD-A07870296	bicuculline-(+)
BRD-A57798559	bicuculline-methochloride-(-)
BRD-K31342827	bisindolylmaleimide
BRD-K49448285	bisindolylmaleimide
BRD-K10882151	BO2-inhibits-RAD51
BRD-A76641868	STOCK-4S-27438
BRD-K64178227	BTS
BRD-A47706533	l-bso
BRD-K08287586	butylparaben
BRD-K62910157	C2-dihydroceramide
BRD-K26756156	cadmium-chloride
BRD-K96188950	caffeic-acid-phenethyl-ester
BRD-K54264597	canrenoic-acid
BRD-K40269473	cathepsin-inhibitor-1
BRD-K15616905	CCCP
BRD-K06159959	CCMQ
BRD-A22997170	CCT036477
BRD-K71860425	CDK2-5-inhibitor
BRD-A79314293	cephalosporanic-acid
BRD-K18135438	chenodeoxycholic-acid
BRD-K38159897	chenodeoxycholic-acid
BRD-K56483981	chicago-sky-blue-6b
BRD-K08111712	chloramphenicol
BRD-K22969690	chloramphenicol
BRD-A51182606	chloramphenicol
BRD-A01593789	chlormadinone-acetate
BRD-K89595132	chlorphenamine
BRD-A04553218	chlorphenamine
BRD-A09073503	chlorpromazine
BRD-K40367460	chlorpromazine
BRD-A94494639	chlorpromazine
BRD-K89997465	chlorpromazine
BRD-K51073125	chlorpromazine
BRD-K59058766	chlorprothixene
BRD-K81091703	chlorprothixene
BRD-A26384407	chlortalidone
BRD-K27911943	chromanol-293B-(-)-[3R,4S]
BRD-A11702965	chromomycin-a3
BRD-K53263234	CITCO
BRD-K49668410	clarithromycin
BRD-K16762525	clarithromycin
BRD-K17850764	cloprostenol-(+/-)
BRD-K90864987	cobalt(II)-chloride
BRD-K61195623	combretastatin-A-4
BRD-K73589401	corticosterone
BRD-K29731656	corticosterone
BRD-K18190982	COT-10b
BRD-K40331046	CR8-(R)
BRD-K43234716	CTPB
BRD-A49680073	cucurbitacin-i
BRD-A28105619	cucurbitacin-i
BRD-K00088062	cyanoquinoline-11
BRD-K95992530	cyclo-[Arg-Gly-Asp-D-Phe-Val]
BRD-K87226815	cycloserine-(d)
BRD-K59573506	cyproterone-acetate
BRD-A95207036	cyproterone-acetate
BRD-K47000838	cytochalasin-b
BRD-K26664453	cytochalasin-b
BRD-A77118605	D-609
BRD-K53888148	DASB
BRD-K90976994	dehydrocholic-acid
BRD-K09129322	dehydrocholic-acid
BRD-K12567312	dehydroisoandosterone
BRD-K96527333	dehydroisoandosterone
BRD-K41170226	deoxycholic-acid
BRD-A08027849	deoxycholic-acid
BRD-K63835783	desmethyl-DASB
BRD-K30697463	desoximetasone
