pert_id	drug_id	moa
BRD-A08715367	theanine	
BRD-A12237696	citrulline	
BRD-K05674516	sofosbuvir	
BRD-K25075681	meclinertant	
BRD-K25835157	cerdulatinib	
BRD-K27853494	phenylpropanolamine	
BRD-K62277907	sarsagenin	
BRD-K71822263	d-serine	
BRD-K81647657	3-methyladenine	
BRD-K82244583	binimetinib	
BRD-K87737963	momelotinib	
BRD-K89464729	gsk-269962a	
BRD-K92041145	6-o-benzylguanine	
BRD-K92073408	norethisterone	
BRD-K97101532	tezacaftor	
BRD-K32795028	1-benzylimidazole	
BRD-K74430258	1,2-dichlorobenzene	
BRD-K63784565	10-hydroxycamptothecin	
BRD-K44408410	2-methoxyestradiol	
BRD-K21910317	2,4-dinitrophenol	
BRD-K24689407	3-bromo-7-nitroindazole	
BRD-K37846922	3,3'-diindolylmethane	
BRD-K04430056	7-nitroindazole	
BRD-K27406233	l-acetylleucine	
BRD-K59058747	acetylcysteine	
BRD-K67174965	acetylcysteine	
BRD-A09062839	amylocaine	
BRD-A63236097	andrographolide	
BRD-K20001883	apabetalone	
BRD-K64178227	pyruvic acid	
BRD-K08287586	butylparaben	
BRD-K08111712	chloramphenicol	
BRD-K22969690	chloramphenicol	
BRD-A51182606	chloramphenicol	
BRD-K89595132	chlorpheniramine	
BRD-A04553218	chlorpheniramine	
BRD-A09073503	chlorpromazine	
BRD-K40367460	chlorpromazine	
BRD-A94494639	chlorpromazine	
BRD-K89997465	chlorpromazine	
BRD-K51073125	chlorpromazine	
BRD-K59058766	chlorprothixene	
BRD-K81091703	chlorprothixene	
BRD-A26384407	chlorthalidone	
BRD-K49668410	clarithromycin	
BRD-K16762525	clarithromycin	
BRD-K73589401	corticosterone	
BRD-K29731656	corticosterone	
BRD-K47000838	cytochalasin b	
BRD-K26664453	cytochalasin b	
BRD-K30697463	desoximetasone	
BRD-A49447682	desoximetasone	
BRD-K07265709	dexrazoxane	
BRD-K24053527	dextromethorphan	
BRD-K33211335	dextromethorphan	
BRD-A27143604	nadide	
BRD-K45330754	diethylstilbestrol	
BRD-K17084514	diethylstilbestrol	
BRD-K97440753	dihydroergocristine	
BRD-A65076780	dihydroergocristine	
BRD-A44701612	dihydroergocristine	
BRD-K72166146	dihydroergotamine	
BRD-M19787235	dihydroergotamine	
BRD-A54845972	dihydroergotamine	
BRD-M15413738	dihydrostreptomycin	
BRD-A54236247	racephedrine	
BRD-K50660797	epicatechin	
BRD-K19216856	epigallocatechin	
BRD-A53131506	epitestosterone	
BRD-K25836724	epitestosterone	
BRD-K88969189	ethinylestradiol	
BRD-A56470328	fludrocortisone	
BRD-K00824317	flurandrenolide	
BRD-A49765801	flurandrenolide	
BRD-K13027675	fluorometholone	
BRD-A13133631	fluorometholone	
BRD-K24255045	fluoxymesterone	
BRD-A21490874	fluoxymesterone	
BRD-A86044036	flurbiprofen	
BRD-K13005598	foxy-5	
BRD-K76674262	omacetaxine mepesuccinate	
BRD-A24643465	omacetaxine mepesuccinate	
BRD-K62627508	idasanutlin	
BRD-K01815685	indole-3-carbinol	
BRD-K33583600	isoliquiritigenin	
BRD-K82681249	js-k	
BRD-K33141550	n-omega-nitro-l-arginine methyl ester	
BRD-K69236721	lumacaftor	
BRD-K88741031	methyl 2,5-dihydroxycinnamate	
BRD-K34685430	methylergometrine	
BRD-A63667919	methylergometrine	
BRD-K05831461	l-acetylleucine	
BRD-K88625236	nonoxynol-9	
BRD-K39981244	norepinephrine	
BRD-K87349682	norepinephrine	
BRD-A91555231	norepinephrine	
BRD-A39415247	norethisterone	
BRD-K42805893	osimertinib	
BRD-K50817623	pancuronium	
BRD-K67844266	pevonedistat	
BRD-K99498722	plinabulin	
BRD-K60507178	podofilox	
BRD-K47869605	podofilox	
BRD-A16746338	podofilox	
BRD-K21361524	selinexor	
BRD-K11215326	tazemetostat	
BRD-A28856712	tetryzoline	
BRD-K26619122	thiocolchicoside	
BRD-A11605036	thiocolchicoside	
BRD-K38310698	troleandomycin	
BRD-K59469039	tyrphostin ag 879	
BRD-K62391742	venetoclax	
BRD-K93442924	vorapaxar	
BRD-K28761384	zuclopenthixol	
BRD-K00198051	zuclopenthixol	
BRD-K78364995	cefotaxime	
BRD-K43230258	crisaborole	
BRD-A56621826	oxytetracycline	
BRD-K23586533	clindamycin	
BRD-A86619021	andrographolide	
BRD-K94979336	3-isobutyl-1-methyl-7h-xanthine	
BRD-M07056525	choline	
BRD-A50311610	meclizine	CAR agonist
BRD-K43002773	ipatasertib	Akt inhibitor
BRD-K70301465	ibrutinib	BTK inhibitor
BRD-K45293975	7-hydroxystaurosporine	CDK inhibitor
BRD-K45293975	7-hydroxystaurosporine	CHK inhibitor
BRD-K65503129	cct-018159	HSP inhibitor
BRD-K42828737	sunitinib	KIT inhibitor
BRD-A12230535	nutlin-3	MDM inhibitor
BRD-K64538373	ro-4987655	MEK inhibitor
BRD-K45293975	7-hydroxystaurosporine	PKC inhibitor
BRD-A67373739	aica ribonucleotide	AMPK activator
BRD-K42828737	sunitinib	FLT3 inhibitor
BRD-K12184916	dactolisib	MTOR inhibitor
BRD-K12184916	dactolisib	PI3K inhibitor
BRD-K42828737	sunitinib	PDGFR inhibitor
BRD-K42828737	sunitinib	VEGFR inhibitor
BRD-K30577245	docetaxel	Tubulin inhibitor
BRD-K78659596	ixazomib	Proteasome inhibitor
BRD-K04548931	epirubicin	Topoisomerase inhibitor
BRD-K00312224	podofilox	Estrogen receptor agonist
BRD-A18497530	5-iodotubercidin	Adenosine kinase inhibitor
BRD-K75844781	m-chlorophenylpiperazine	Serotonin receptor agonist
BRD-M66874015	quetiapine	Dopamine receptor antagonist
