pert_id	cell_iname	pert_type	compound_id	drug_id
BRD-A90490067	NCIH596	trt_cp	BRD-A90490067__NCIH596__trt_cp	fulvestrant
BRD-K00959089	MCF10A	trt_cp	BRD-K00959089__MCF10A__trt_cp	thenoyltrifluoroacetone
BRD-K96282009	MCF7	trt_cp	BRD-K96282009__MCF7__trt_cp	guaiacol
BRD-K58772419	A549	trt_cp	BRD-K58772419__A549__trt_cp	azd-6482
BRD-A76019558	A549	trt_cp	BRD-A76019558__A549__trt_cp	ketoconazole
BRD-K48722258	HUH7	trt_cp	BRD-K48722258__HUH7__trt_cp	dilazep
BRD-K57391913	CD34	trt_cp	BRD-K57391913__CD34__trt_cp	iloprost
BRD-K32793530	PC3	trt_cp	BRD-K32793530__PC3__trt_cp	estriol
BRD-A79672927	HUH7	trt_cp	BRD-A79672927__HUH7__trt_cp	tropicamide
BRD-K29582677	HUH7	trt_cp	BRD-K29582677__HUH7__trt_cp	flunarizine
BRD-A69651145	HUH7	trt_cp	BRD-A69651145__HUH7__trt_cp	minocycline
BRD-K04196797	HUH7	trt_cp	BRD-K04196797__HUH7__trt_cp	oxcarbazepine
BRD-A81772229	HUH7	trt_cp	BRD-A81772229__HUH7__trt_cp	simvastatin
BRD-K14821965	PC3	trt_cp	BRD-K14821965__PC3__trt_cp	propidium
BRD-K10995081	PC3	trt_cp	BRD-K10995081__PC3__trt_cp	perphenazine
BRD-K54283240	MCF7	trt_cp	BRD-K54283240__MCF7__trt_cp	cefixime
BRD-K21401044	MCF7	trt_cp	BRD-K21401044__MCF7__trt_cp	danazol
BRD-K48470486	MCF7	trt_cp	BRD-K48470486__MCF7__trt_cp	cefmetazole
BRD-A00546892	SHSY5Y	trt_cp	BRD-A00546892__SHSY5Y__trt_cp	biperiden
BRD-K69932463	NPC	trt_cp	BRD-K69932463__NPC__trt_cp	azd-8055
BRD-K30816563	PC3	trt_cp	BRD-K30816563__PC3__trt_cp	ranitidine
BRD-M61872305	MCF7	trt_cp	BRD-M61872305__MCF7__trt_cp	mephentermine
BRD-A99117172	PC3	trt_cp	BRD-A99117172__PC3__trt_cp	hydroxychloroquine
BRD-K76723084	NEU	trt_cp	BRD-K76723084__NEU__trt_cp	isotretinoin
BRD-K26104851	MCF7	trt_cp	BRD-K26104851__MCF7__trt_cp	nifuroxazide
BRD-K13183738	HUH7	trt_cp	BRD-K13183738__HUH7__trt_cp	pentamidine
BRD-A45664787	U937	trt_cp	BRD-A45664787__U937__trt_cp	iloprost
BRD-K59058747	PC3	trt_cp	BRD-K59058747__PC3__trt_cp	acetylcysteine
BRD-K92193792	PC3	trt_cp	BRD-K92193792__PC3__trt_cp	nizatidine
BRD-A23801136	PC3	trt_cp	BRD-A23801136__PC3__trt_cp	rifabutin
BRD-K86972824	HUH7	trt_cp	BRD-K86972824__HUH7__trt_cp	oltipraz
BRD-K79116891	MCF7	trt_cp	BRD-K79116891__MCF7__trt_cp	proparacaine
BRD-K04111260	HUH7	trt_cp	BRD-K04111260__HUH7__trt_cp	raclopride
BRD-K62782754	HUH7	trt_cp	BRD-K62782754__HUH7__trt_cp	tiotropium
BRD-A30693873	PC3	trt_cp	BRD-A30693873__PC3__trt_cp	diperodon
BRD-K10671814	PC3	trt_cp	BRD-K10671814__PC3__trt_cp	sulfaphenazole
BRD-K47244735	PC3	trt_cp	BRD-K47244735__PC3__trt_cp	progesterone
BRD-A71033472	MCF7	trt_cp	BRD-A71033472__MCF7__trt_cp	fendiline
BRD-K71289571	MCF7	trt_cp	BRD-K71289571__MCF7__trt_cp	zafirlukast
BRD-K13238168	MCF7	trt_cp	BRD-K13238168__MCF7__trt_cp	haloprogin
BRD-K24125544	NPC	trt_cp	BRD-K24125544__NPC__trt_cp	tetrabenazine
BRD-K08287586	MCF7	trt_cp	BRD-K08287586__MCF7__trt_cp	butylparaben
BRD-K05236810	MCF7	trt_cp	BRD-K05236810__MCF7__trt_cp	luteolin
BRD-K24559712	PC3	trt_cp	BRD-K24559712__PC3__trt_cp	norethisterone
BRD-K32107296	NPC	trt_cp	BRD-K32107296__NPC__trt_cp	temozolomide
BRD-A09722536	A549	trt_cp	BRD-A09722536__A549__trt_cp	cyclophosphamide
BRD-K64052750	HUH7	trt_cp	BRD-K64052750__HUH7__trt_cp	gefitinib
BRD-K17306061	A549	trt_cp	BRD-K17306061__A549__trt_cp	aprepitant
BRD-A18696154	PC3	trt_cp	BRD-A18696154__PC3__trt_cp	idazoxan
BRD-A42699921	A549	trt_cp	BRD-A42699921__A549__trt_cp	teriflunomide
BRD-A13084692	HUH7	trt_cp	BRD-A13084692__HUH7__trt_cp	troglitazone
BRD-K97799481	HUH7	trt_cp	BRD-K97799481__HUH7__trt_cp	theophylline
BRD-K86301799	HUH7	trt_cp	BRD-K86301799__HUH7__trt_cp	dipyridamole
BRD-K43764301	HUH7	trt_cp	BRD-K43764301__HUH7__trt_cp	dexketoprofen
BRD-K97564742	HUH7	trt_cp	BRD-K97564742__HUH7__trt_cp	mepyramine
BRD-K44227013	MCF10A	trt_cp	BRD-K44227013__MCF10A__trt_cp	ponatinib
BRD-K87714311	NEU	trt_cp	BRD-K87714311__NEU__trt_cp	zebularine
BRD-K47407372	PC3	trt_cp	BRD-K47407372__PC3__trt_cp	nifenazone
BRD-A41020680	MCF7	trt_cp	BRD-A41020680__MCF7__trt_cp	minocycline
BRD-K85985071	HUH7	trt_cp	BRD-K85985071__HUH7__trt_cp	ellipticine
BRD-K29458283	MCF7	trt_cp	BRD-K29458283__MCF7__trt_cp	chlorambucil
BRD-K08316444	HUH7	trt_cp	BRD-K08316444__HUH7__trt_cp	rotenone
BRD-A47598013	NPC	trt_cp	BRD-A47598013__NPC__trt_cp	citalopram
BRD-K67563174	PC3	trt_cp	BRD-K67563174__PC3__trt_cp	acemetacin
BRD-K33127281	NEU	trt_cp	BRD-K33127281__NEU__trt_cp	adapalene
BRD-A78322124	MCF7	trt_cp	BRD-A78322124__MCF7__trt_cp	dobutamine
BRD-K71451869	MCF7	trt_cp	BRD-K71451869__MCF7__trt_cp	halcinonide
BRD-K60369935	MCF7	trt_cp	BRD-K60369935__MCF7__trt_cp	ribavirin
BRD-K53523901	PHH	trt_cp	BRD-K53523901__PHH__trt_cp	arctigenin
CMAP-C110765	NPC	trt_cp	CMAP-C110765__NPC__trt_cp	potassium chloride
BRD-K88172511	HUH7	trt_cp	BRD-K88172511__HUH7__trt_cp	naltrexone
BRD-K76205745	HUH7	trt_cp	BRD-K76205745__HUH7__trt_cp	losartan
BRD-A08660406	MCF7	trt_cp	BRD-A08660406__MCF7__trt_cp	iodixanol
BRD-K96042922	PC3	trt_cp	BRD-K96042922__PC3__trt_cp	etanidazole
BRD-A01787639	HUH7	trt_cp	BRD-A01787639__HUH7__trt_cp	naftopidil
BRD-K29113274	HUH7	trt_cp	BRD-K29113274__HUH7__trt_cp	ketoconazole
BRD-A81129465	HUH7	trt_cp	BRD-A81129465__HUH7__trt_cp	fenoprofen
BRD-A41020680	PC3	trt_cp	BRD-A41020680__PC3__trt_cp	minocycline
BRD-K78815826	PC3	trt_cp	BRD-K78815826__PC3__trt_cp	suxibuzone
BRD-M73371355	MCF7	trt_cp	BRD-M73371355__MCF7__trt_cp	apomorphine
BRD-A56470328	MCF7	trt_cp	BRD-A56470328__MCF7__trt_cp	fludrocortisone
BRD-K27305650	PHH	trt_cp	BRD-K27305650__PHH__trt_cp	ly-294002
BRD-A31159102	NPC	trt_cp	BRD-A31159102__NPC__trt_cp	fluoxetine
BRD-K71879491	NEU	trt_cp	BRD-K71879491__NEU__trt_cp	tretinoin
BRD-K13078532	PC3	trt_cp	BRD-K13078532__PC3__trt_cp	hydrochlorothiazide
BRD-A39210489	PC3	trt_cp	BRD-A39210489__PC3__trt_cp	chlortetracycline
BRD-K53815609	MCF7	trt_cp	BRD-K53815609__MCF7__trt_cp	nitrofural
BRD-A16332958	PC3	trt_cp	BRD-A16332958__PC3__trt_cp	modafinil
BRD-K50388907	MCF7	trt_cp	BRD-K50388907__MCF7__trt_cp	fenofibrate
BRD-K32744045	MCF7	trt_cp	BRD-K32744045__MCF7__trt_cp	disulfiram
BRD-A16332958	MCF7	trt_cp	BRD-A16332958__MCF7__trt_cp	modafinil
BRD-K12539581	NEU	trt_cp	BRD-K12539581__NEU__trt_cp	nocodazole
BRD-K64634304	A375	trt_cp	BRD-K64634304__A375__trt_cp	tretinoin
BRD-K74514084	NCIH596	trt_cp	BRD-K74514084__NCIH596__trt_cp	pazopanib
BRD-K32610195	A549	trt_cp	BRD-K32610195__A549__trt_cp	androstenedione
BRD-K54472332	A549	trt_cp	BRD-K54472332__A549__trt_cp	elvitegravir
BRD-K71499074	PC3	trt_cp	BRD-K71499074__PC3__trt_cp	diclofenamide
BRD-K81473089	HUH7	trt_cp	BRD-K81473089__HUH7__trt_cp	tacrine
BRD-A18497530	HEPG2	trt_cp	BRD-A18497530__HEPG2__trt_cp	5-iodotubercidin
BRD-K50691590	MCF7	trt_cp	BRD-K50691590__MCF7__trt_cp	bortezomib
BRD-A55962179	HPTEC	trt_cp	BRD-A55962179__HPTEC__trt_cp	omeprazole
BRD-K78666826	HUH7	trt_cp	BRD-K78666826__HUH7__trt_cp	procaterol
BRD-K79425933	PC3	trt_cp	BRD-K79425933__PC3__trt_cp	benperidol
BRD-K96253961	PC3	trt_cp	BRD-K96253961__PC3__trt_cp	metaraminol
BRD-K03319035	MCF7	trt_cp	BRD-K03319035__MCF7__trt_cp	maprotiline
BRD-A57133233	MCF7	trt_cp	BRD-A57133233__MCF7__trt_cp	chlorcyclizine
BRD-M56587789	MCF7	trt_cp	BRD-M56587789__MCF7__trt_cp	ibutilide
BRD-K22901619	MCF7	trt_cp	BRD-K22901619__MCF7__trt_cp	norgestimate
BRD-K32021043	PC3	trt_cp	BRD-K32021043__PC3__trt_cp	sulfachlorpyridazine
BRD-K86858124	PC3	trt_cp	BRD-K86858124__PC3__trt_cp	paclitaxel
BRD-A75409952	PHH	trt_cp	BRD-A75409952__PHH__trt_cp	wortmannin
BRD-K03067624	PHH	trt_cp	BRD-K03067624__PHH__trt_cp	emetine
BRD-K70158168	MCF7	trt_cp	BRD-K70158168__MCF7__trt_cp	saquinavir
BRD-K21680192	NCIH2073	trt_cp	BRD-K21680192__NCIH2073__trt_cp	mitoxantrone
BRD-K27305650	NEU	trt_cp	BRD-K27305650__NEU__trt_cp	ly-294002
BRD-K43389675	HL60	trt_cp	BRD-K43389675__HL60__trt_cp	daunorubicin
BRD-A11263757	PC3	trt_cp	BRD-A11263757__PC3__trt_cp	azacitidine
BRD-K77908580	SHSY5Y	trt_cp	BRD-K77908580__SHSY5Y__trt_cp	entinostat
BRD-A70182876	MCF7	trt_cp	BRD-A70182876__MCF7__trt_cp	azapropazone
BRD-A65818372	PC3	trt_cp	BRD-A65818372__PC3__trt_cp	ioversol
BRD-K89125793	HUH7	trt_cp	BRD-K89125793__HUH7__trt_cp	tinidazole
BRD-K79131256	HUH7	trt_cp	BRD-K79131256__HUH7__trt_cp	albendazole
BRD-A13084692	JURKAT	trt_cp	BRD-A13084692__JURKAT__trt_cp	troglitazone
BRD-K32107296	NEU	trt_cp	BRD-K32107296__NEU__trt_cp	temozolomide
BRD-A62336480	NPC	trt_cp	BRD-A62336480__NPC__trt_cp	niguldipine
BRD-M45580279	PC3	trt_cp	BRD-M45580279__PC3__trt_cp	mebhydrolin
BRD-A70814879	NPC	trt_cp	BRD-A70814879__NPC__trt_cp	opaganib
BRD-K30984264	NPC	trt_cp	BRD-K30984264__NPC__trt_cp	harmine
BRD-M98649031	MCF7	trt_cp	BRD-M98649031__MCF7__trt_cp	dimenhydrinate
BRD-A79226577	MCF7	trt_cp	BRD-A79226577__MCF7__trt_cp	tropisetron
BRD-K50866992	SHSY5Y	trt_cp	BRD-K50866992__SHSY5Y__trt_cp	tropisetron
BRD-K67868012	PHH	trt_cp	BRD-K67868012__PHH__trt_cp	pi-103
BRD-K51207550	PC3	trt_cp	BRD-K51207550__PC3__trt_cp	ethionamide
BRD-A88254928	PC3	trt_cp	BRD-A88254928__PC3__trt_cp	salbutamol
BRD-K06181161	PC3	trt_cp	BRD-K06181161__PC3__trt_cp	pentoxyverine
BRD-A84282119	MCF7	trt_cp	BRD-A84282119__MCF7__trt_cp	rimantadine
BRD-A50287119	NEU	trt_cp	BRD-A50287119__NEU__trt_cp	sirolimus
BRD-K08111712	MCF7	trt_cp	BRD-K08111712__MCF7__trt_cp	chloramphenicol
BRD-A25619068	MCF7	trt_cp	BRD-A25619068__MCF7__trt_cp	fadrozole
BRD-K28307902	A549	trt_cp	BRD-K28307902__A549__trt_cp	flutamide
SAHA	NPC	trt_cp	SAHA__NPC__trt_cp	vorinostat
BRD-K00885784	MCF7	trt_cp	BRD-K00885784__MCF7__trt_cp	canrenone
BRD-K03012696	MCF7	trt_cp	BRD-K03012696__MCF7__trt_cp	cefdinir
BRD-K70358946	HUH7	trt_cp	BRD-K70358946__HUH7__trt_cp	aripiprazole
BRD-A09533288	HUH7	trt_cp	BRD-A09533288__HUH7__trt_cp	verapamil
BRD-K74117820	HUH7	trt_cp	BRD-K74117820__HUH7__trt_cp	nelfinavir
BRD-K62008436	HUH7	trt_cp	BRD-K62008436__HUH7__trt_cp	paclitaxel
BRD-A79067928	NEU	trt_cp	BRD-A79067928__NEU__trt_cp	etoposide
BRD-A84174873	MCF7	trt_cp	BRD-A84174873__MCF7__trt_cp	baclofen
BRD-K93524252	MCF7	trt_cp	BRD-K93524252__MCF7__trt_cp	sulfamerazine
BRD-M59543297	MCF7	trt_cp	BRD-M59543297__MCF7__trt_cp	isometheptene
